title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
1715,24000000,[18],[0],6885,5306,6.992,923,5.093421968160918
11782,4500000,"[28, 53, 80]",[8],1337,11401,7.617,579,4.95279226560295
18885,20000000,"[10751, 12, 28, 35]","[3, 0]",8187,36147,5.5,237,4.135593822479094
1389,48000000,"[10749, 35, 80]",[0],16866,1884,6.658,997,5.016078547290235
297222,13000000,"[35, 18, 878]",[15],81928,85675,7.689,761,5.192335939045618
10403,8000000,"[35, 9648, 18, 80]",[0],21245,9789,7.208,596,4.857735723838481
11497,13800000,"[18, 16, 10751, 35, 14]","[44, 6, 0]",6844,40345,6.725,835,4.925811428965737
340487,2000000,[18],[0],37917,56383,5.9,258,4.210940657452384
3175,11000000,"[18, 10749, 10752]","[6, 0]",31071,240,8.003,2255,6.376791709012286
13477,55000000,"[35, 14, 10749]","[21, 0]",40462,16837,6.035,1060,4.79783725254112
16225,15000000,"[28, 12, 16, 14, 878]","[7, 10]",80116,552106,6.068,155,4.121117709570823
9507,8000000,"[53, 80, 878]",[0],724,4782,5.457,187,4.090171559014494
330947,10000000,"[18, 10749]",[0],108916,30715,5.411,740,4.413574403366598
59387,10000000,"[16, 28, 10751]","[6, 0]",15762,122967,6.5,230,4.263617449879857
20857,32000000,[18],"[10, 0]",2882,53177,6.4,404,4.447552777811362
9877,14000000,"[27, 53]","[7, 9, 0]",7499,59958,5.663,1037,4.634045881851133
7979,20000000,[18],"[86, 16, 0]",53481,12995,7.326,996,5.282839708034708
45094,12500000,[18],[0],6807,3417,7.083,499,4.711899856420203
318917,3196621,[35],[10],17543,928146,6.8,1529,5.377098555896546
10871,37000000,[53],[0],2047,7671,5.989,177,4.138403166145047
11863,50000000,"[53, 9648]",[0],9625,15175,5.4,188,4.084606381114881
38543,25000000,"[10749, 12, 28, 36]","[6, 0]",51072,83730,6.167,605,4.56747835959742
8764,9000000,[35],"[6, 0]",55907,12987,7.067,893,5.0976223480718
586,15000000,"[35, 18]",[0],380,8246,6.978,735,4.928521937413592
16638,6250000,"[28, 18, 36, 10749, 10752]","[21, 0]",16757,40199,6.897,208,4.283250825539643
