title,budget,genres,country,charactor,director,vote_score,vote_count,vote_weight
슈퍼플라이,16000000,액션,United States of America,Jason Mitchell,Director X.,6.8,313,4.41848108415374
시간 여행자의 아내,39000000,드라마,United States of America,Rachel McAdams,Robert Schwentke,6.938,2094,5.681875254491821
지옥의 반담,4000000,액션,Canada,Robert Guillaume,Deran Sarafian,6.2,430,4.429219036651002
라스트 홀리데이,45000000,모험,United States of America,LL Cool J,Wayne Wang,7.047,550,4.76142435204886
케이프 피어,35000000,스릴러,United States of America,Nick Nolte,Martin Scorsese,7.25,2674,6.057022257953865
서유기: 재세요왕,20000000,애니메이션,China,Bian Jiang,Wang Yunfei,7.123,235,4.35486949370179
게임 체인저,35000000,드라마,Australia,Alec Baldwin,Peter Landesman,7.099,2227,5.823208920423697
터커 & 데일 vs 이블,5000000,코미디,Canada,Tyler Labine,Eli Craig,7.349,2215,5.968460889656397
이탈리안 잡,3000000,액션,United Kingdom,Noël Coward,Peter Collinson,7.011,546,4.747293275649491
개들의 섬,62770198,모험,Germany,Koyu Rankin,Wes Anderson,7.869,3954,6.786838716547615
줄리 & 줄리아,40000000,로맨스,United States of America,Amy Adams,Nora Ephron,6.671,1787,5.41875394550114
네메시스,60000000,SF,United States of America,Jonathan Frakes,Stuart Baird,6.287,1131,4.939987048773608
와이어트 어프,63000000,서부,United States of America,Dennis Quaid,Lawrence Kasdan,6.8,666,4.808054341703626
드래곤하트,57000000,판타지,United States of America,David Thewlis,Rob Cohen,6.546,1690,5.314189515213378
칵테일,20000000,로맨스,United States of America,Bryan Brown,Roger Donaldson,6.047,1153,4.846568822155257
엔들리스 러브,20000000,드라마,United States of America,Gabriella Wilde,Shana Feste,6.887,1496,5.404942561911195
에드 우드,18000000,코미디,United States of America,Martin Landau,Tim Burton,7.511,1883,5.923039954534332
미스 발라,15000000,액션,Mexico,Ismael Cruz Córdova,Catherine Hardwicke,6.415,434,4.481345822557834
3:10 투 유마,55000000,서부,United States of America,Christian Bale,James Mangold,7.186,2900,6.076151150202463
사랑보다 황금,70000000,로맨스,United States of America,Kate Hudson,Andy Tennant,5.693,1247,4.726596377692227
42,40000000,드라마,United States of America,Harrison Ford,Brian Helgeland,7.118,1510,5.528049172360507
더 포스트,50000000,드라마,United States of America,Tom Hanks,Steven Spielberg,6.994,4013,6.160578168430451
