액션,모험,판타지,SF,드라마,공포,스릴러,미스터리,로맨스,title,budget,charactor,director,vote_weight
1,1,1,0,0,0,0,0,0,505262,0.031578947368421054,0.06186149625504366,0.3583967411199165,1
0,0,0,0,0,1,1,0,0,610253,0.05263157894736842,0.005689756108261663,0.017587828776080047,0
0,0,1,0,0,0,0,0,0,876716,0.0001190078947368421,0.4866260568893349,0.8891698888123245,1
0,0,0,0,1,0,1,0,0,597208,0.15789473684210525,3.071097272893042e-05,0.0029690994837529,0
1,0,0,0,0,0,1,0,0,38234,0.007894736842105263,0.01696123151000643,0.02141765999972031,1
1,0,0,0,1,0,0,0,0,744,0.039473684210526314,0.003039289479709507,0.0002448657036379146,0
1,1,0,0,0,0,0,0,0,568620,0.23157894736842105,0.4547349053512499,0.015703761307215423,1
0,1,0,1,1,0,0,0,0,522402,0.006578947368421052,0.15699366997495137,0.03137023063716908,0
1,1,1,0,0,0,0,0,0,76338,0.4473684210526316,0.00014368347955321018,0.012889039641097624,0
0,0,0,1,0,0,1,0,0,698128,0.011842105263157895,0.023169509488182444,0.32869697169950235,1
1,1,0,0,0,0,0,0,0,383498,0.2894736842105263,0.004620630370135772,0.011155785315571019,0
0,0,0,0,0,1,1,0,0,482373,0.02631578947368421,0.0007784683176556559,0.2868808743433116,0
0,1,1,0,0,0,0,0,0,330457,0.39473684210526316,0.011094887308553417,0.3073006997455645,0
0,1,1,0,0,0,0,0,0,118,0.39473684210526316,0.0003512567505871417,0.0001398449147316198,0
0,0,0,0,0,0,0,0,0,863,0.23684210526315788,0.0035366975558727195,0.0021604668297459458,0
0,0,0,0,1,0,0,0,1,597,0.5263157894736842,0.0016981522688416617,0.0007430974880837051,0
1,1,1,0,0,0,0,0,0,458576,0.15789473684210525,0.015686451936642167,0.0011006617406523957,0
1,1,0,1,0,0,0,0,0,10138,0.5263157894736842,0.003304720029723834,0.004189040710499913,0
1,1,1,0,0,0,0,0,0,122917,0.6578947368421053,0.0019358881023772213,2.961421723728419e-05,0
1,1,0,0,0,0,1,0,0,370172,0.6578947368421053,0.03332387325691237,0.023926368087719505,0
0,0,0,0,0,0,0,0,0,38757,0.6842105263157895,0.019166663239102745,0.03340648227794753,0
0,0,0,0,1,0,1,0,1,216015,0.10526315789473684,0.3440130740998189,0.3120195058977536,0
1,0,0,0,0,0,1,0,0,522016,0.19736842105263158,0.34750809247841663,0.0030414897925551505,1
0,1,0,0,0,0,0,0,0,425,0.15526315789473685,0.34750809247841663,0.0015665372507093016,0
0,0,0,0,1,0,0,0,0,833417,0.007894736842105263,0.0017960434944151273,0.47191160046472386,1
0,0,0,0,1,0,0,0,1,337167,0.14473684210526316,0.3440130740998189,0.004357128813893016,0
1,0,0,1,0,0,0,0,0,454626,0.2236842105263158,0.060906714049310307,0.025600942390201862,0
0,0,0,0,0,0,0,0,1,621,0.015789473684210527,0.0024382318705861547,0.0024338499277605044,0
0,1,1,0,0,0,0,0,1,50619,0.2894736842105263,0.010397035294311203,0.004265818310744724,0
0,0,1,0,1,0,0,0,1,8966,0.09736842105263158,0.010397035294311203,0.00544298344592677,0
1,1,0,1,0,0,0,0,0,283995,0.5263157894736842,0.0023831166427422707,0.00417286257330547,0
0,0,0,0,0,0,0,0,0,587807,0.13157894736842105,0.00012448912159762867,0.005593796589264791,0
1,1,0,1,0,0,0,0,0,271110,0.6578947368421053,0.0008837630812977031,0.005284492542564268,0
0,0,0,0,1,0,1,0,0,475557,0.14473684210526316,0.0001041979431874425,0.015665372507093017,0
1,1,0,1,0,0,0,0,0,76600,0.6578947368421053,0.0023831166427422707,0.0007430974880837051,1
0,0,0,0,1,0,0,0,0,453354,0.007894736842105263,0.28953784099119667,0.4668259070656506,1
1,1,1,0,0,0,0,0,0,464052,0.5263157894736842,0.017018266173645873,0.001887632143161707,0
0,0,1,0,0,0,0,0,0,10144,0.10526315789473684,0.018479231019179275,0.004335466562395373,0
1,0,0,0,0,0,1,0,0,615457,0.04473684210526316,0.0002563817812638388,0.3205530619592492,0
0,0,1,0,0,0,0,0,0,2062,0.39473684210526316,1.782333238732569e-05,0.001943295903339195,0
0,0,0,0,1,0,0,0,0,106646,0.2631578947368421,0.0057602268224700125,0.00028298029804516006,0
0,1,1,0,0,0,0,0,0,809,0.39473684210526316,0.00021278316819330363,0.0033124050391332687,0
0,0,1,0,1,0,0,0,0,508442,0.39473684210526316,0.015444054616174537,0.0035345116684129003,0
0,1,0,1,1,0,0,0,0,157336,0.4342105263157895,0.0004971338710495612,0.00014395800045902037,0
1,0,0,1,1,0,0,0,0,39254,0.2894736842105263,0.0642953408438114,0.004887716872727692,0
1,0,0,0,1,0,0,0,0,228150,0.17894736842105263,0.009113206952196452,0.005420772782998807,0
0,0,1,0,0,0,0,0,0,214756,0.17894736842105263,0.014296780420658064,0.014296811782729263,0
1,1,1,0,0,0,0,0,0,102382,0.5263157894736842,0.014997100280923138,0.024059357859572125,0
0,0,1,0,0,0,0,0,1,11224,0.007631578947368421,0.018450987892473205,0.017786079508140755,0
0,1,1,0,1,0,0,0,0,301528,0.4605263157894737,0.0035366975558727195,0.02316928610816264,0
0,1,1,0,0,0,0,0,0,109445,0.39473684210526316,0.005317933974150684,0.3073006997455645,0
1,1,1,0,0,0,0,0,0,284052,0.4342105263157895,0.3443901061310892,0.015218142985666993,0
1,1,1,0,0,0,0,0,0,22,0.3684210526315789,3.125938295623275e-05,0.0004672465386327061,0
1,0,0,1,0,0,1,1,0,13811,0.13157894736842105,0.0026946136518499935,0.005781627504149418,0
1,1,1,0,0,0,0,0,0,285,0.7894736842105263,3.125938295623275e-05,0.0004672465386327061,0
0,0,0,0,0,0,0,0,0,9820,0.039473684210526314,0.0016630540142943127,0.0048528927469023665,0
0,0,1,0,0,0,0,0,1,3933,0.10526315789473684,0.000351805160814444,0.009567311607648914,0
